id,name,composer_id
217,María Luisa Ozaita Marques,153
218,Karen P. Thomas,154
219,Marta Jiráčková,155
220,Renate Birnstein,156
221,Borghild Holmsen,157
222,"Anna Amalia, Duchess of Saxe-Weimar-Eisenach",158
223,Duchess Anna Amalia of Brunswick-Wolfenbüttel,158
224,Anna Amalia of Brunswick-Wolfenbüttel,158
225,Anne-Marie Ørbeck,159
226,Maria Semyonovna Zavalishina,160
227,Betty Ann Wong,161
228,Reena Esmail,162
229,Minna Keal,163
230,Mina Nerenstein,163
231,Mina Samuel,163
232,Mina Nerenstein,163
233,Mina Samuel,163
234,Isabella Colbran,164
235,Yoko Kanno,165
236,Gabriela Robin,165
237,Gabriela Robin,165
238,Alicia Ann Spottiswoode,166
239,Lady John Scott,166
240,Lady John Scott Spottiswoode,166
241,Lady John Scott,166
242,Lady John Scott Spottiswoode,166
243,Cevanne Horrocks-Hopayian,167
244,Erika Stang,168
245,Lillian Alison Tait Sheldon,169
246,Lillian Tait Sheldon,169
247,Elise Rondonneau,170
248,Mary Lynn Twombly,171
249,Anna Maria Diller Starbuck,172
250,Anna Diller Starbuck,172
251,Jane Mary Guest,173
252,Antha Minerva Virgil,174
253,Philippa Duke Schuyler,175
254,Felipa Monterro y Schuyler,175
255,Felipa Monterro y Schuyler,175
256,Vítězslava Kaprálová,176
257,Sharon Ruchman,177
258,Doris Akers,178
259,Miss Gospel Music,178
260,Dot,178
261,Catharina van Rennes,179
262,Poldowski,180
263,Régine Wieniawski,180
264,Irène Wieniawska,180
265,Lady Dean Paul,180
266,Régine Wieniawski,180
267,Irène Wieniawska,180
268,Lady Dean Paul,180
269,P. Bhanumathi,181
270,Ashtavadhani,181
271,Nadippukku Ilakkanam,181
272,Ashtavadhani,181
273,Nadippukku Ilakkanam,181
274,Catalina Berroa,182
275,Alba Trissina,183
276,Marguerite Samuel,184
277,Sophie Wolff-Fritz,185
278,Elena Petrová,186
279,Doris Gertrude Sheppard,187
280,Carla Bley,188
281,Karen Borg,188
282,Karen Borg,188
283,Celeste de Longpré Heckscher,189
284,Celeste de Longpré Massey,189
285,Celeste de Longpré Massey,189
286,Michiru Yamane,190
287,Shoshana Riseman,191
288,Gerda Geertens,192
289,Florence Turner-Maley,193
290,Edith Borroff,194
291,Kathe Volkart-Schlager,195
292,Helen Roessing,196
293,Ruth Schonthal,197
294,Ruth Schönthal,197
295,Ruth Schönthal,197
296,Maggi Payne,198
297,Katharine Emily Eggar,199
298,Anice Potter Terhune,200
299,Maria Rodrigo,201
300,Clémence de Grandval,202
301,Caroline Blangy,202
302,Clémence Valgrand,202
303,Maria Felicita de Reiset,202
304,Maria Reiset de Tesier,202
305,Caroline Blangy,202
306,Clémence Valgrand,202
307,Maria Felicita de Reiset,202
308,Maria Reiset de Tesier,202
309,Virginia Seay,203
310,Gaziza Zhubanova,204
311,Sylvia Soublette,205
312,Ruth Watson Henderson,206
313,Pan Shiji,207
314,Augusta Read Thomas,208
315,Iris Sanguesa,209
316,Hi Kyung Kim,210
317,Shih-Hui Chen,211
318,Chen Shih-hui,211
319,陳士惠,211
320,Chen Shih-hui,211
321,陳士惠,211
322,Radie Britain,212
323,Geghuni Hovannesi Chitchian,213
324,Kate Simmons,214
325,E. Kate Simmons,214
326,E. Kate Simmons,214
327,Vânia Dantas Leite,215
328,Caroline Boissier-Butini,216
329,Caroline Butini,216
330,Caroline Butini,216
331,Eda Rapoport,217
332,Florence Pauline Wickham,218
333,Delia Derbyshire,219
334,Nina Stollewerk,220
335,Frieda Schmitt-Lermann,221
336,Wilhelmine Auguste Charlotte Helene Apollonia von Troschke und Rosenwerth,222
337,Wilhelmine von Troschke und Rosenwerth,222
338,Wilhelmine von Troschke und Rosenwerth,222
339,Vivienne Olive,223
340,Mercedes Roldós Freixes,224
341,Kate Vanderpoel,225
342,Candida Berta Alves de Sousa,226
343,Berta Alves de Sousa,226
344,Anna Bon,227
345,Anna Ioanna Lucia,227
346,Anna Ioanna Lucia,227
347,Meena Mangeshkar,228
348,Meena Khadikar,228
349,Meena Khadikar,228
350,Eliza Flower,229
351,Alida Vázquez,230
352,Alexina Louie,231
353,Alamanda de Castelnau,232
354,Lois V Vierk,233
355,Berenice Robinson,234
356,Annie Fortescue Harrison,235
357,Lady Arthur Hill,235
358,Lady Arthur Hill,235
359,Amy Elsie Horrocks,236
360,Elise Horrocks,236
361,Elise Horrocks,236
362,Halyna Ovcharenko,237
363,Adina Izarra,238
364,Anna Appleby,239
365,Norrisette,239
366,Norrisette,239
367,Margaret Allison Bonds,240
368,Margaret Jeanette Allison Majors,240
369,Margaret Jeanette Allison Majors,240
370,Mary Augusta Wakefield,241
371,Ruth Lomon,242
372,Eiluned Davies,243
373,Clara Edwards,244
374,Clara Gerlich,244
375,Clara Gerlich,244
376,Marianella Machado,245
377,Cornelia Tăutu,246
378,Erna Schorlemmer,247
379,Erny Chaloix,247
380,Erny Chaloix,247
381,Maria Helena Rosas Fernandes,248
382,Princess Philippine Charlotte of Prussia,249
383,Philippine Charlotte of Brunswick-Wolfenbüttel,249
384,Philippine Charlotte of Brunswick-Wolfenbüttel,249
385,Maria Margherita Grimani,250
386,Zhivka Klinkova,251
387,Henriette Adélaïde Villard de Beaumesnil,252
388,Mademoiselle Beaumesnil,252
389,Mlle Beaumesnil,252
390,Laura Sedgwick Collins,253
391,Regina Irman,254
392,Graciela Agudelo,255
393,Theresa Schaeffer,256
394,Josina van Aerssen,257
395,Baroness Boetzelaer,257
396,Baroness Boetzelaer,257
397,Elinor Armer,258
398,Ilse Gerda Wunsch,259
399,Marie de France,260
400,"Marie of France, Countess of Champagne",260
401,"Marie, Abbess of Shaftesbury",260
402,"Marie, Abbess of Reading",260
403,Marie I of Boulogne,260
404,"Marie, Abbess of Barking",260
405,Marie de Meulan,260
406,"Marie ai num, si sui de France",260
407,Hilda Jerea,261
408,Janina Skowronska,262
409,Grażyna Bacewicz,263
410,Mary Mageau,264
411,Zhanna Vasil'yevna Pliyeva,265
412,Marie Townsend,266
413,Luise Adolpha Le Beau,267
414,Luise Caroline Marie Henriette Adolpha Le Beau,267
415,Luise Caroline Marie Henriette Adolpha Le Beau,267
416,Lydia Auster,268
417,Nannie Louise Wright,269
418,Maddalena Laura Sirmen,270
419,Maddalena Laura Lombardini,270
420,Maddalena Laura Lombardini,270
421,Mathilde Hannah von Rothschild,271
422,Mathilde de Rothschild,271
423,Mathilde de Rothschild,271
424,Mansi Barberis,272
425,Clemensa Barberis,272
426,Barberis-Plăcințeanu,272
427,Clemensa Barberis,272
428,Barberis-Plăcințeanu,272
429,Toshiko Akiyoshi,273
430,Gaspara Stampa,274
431,Anaxilla,274
432,Anaxilla,274
433,Arlene Zallman,275
434,Judith Dvorkin,276
435,Juliana Hall,277
436,Amy Woodforde-Finden,278
437,Amelia Rowe Ward,278
438,Amy Ward,278
439,Judith Lang Zaimont,279
440,Melissa Hui,280
441,Sonia Bo,281
442,Carolyn Yarnell,282
443,Frances C. Robinson,283
444,Julia Smith,284
445,Eithne Pádraigín Ní Bhraonáin,285
446,Enya Patricia Brennan,285
447,Enya Patricia Brennan,285
448,Sophie Carmen Eckhardt-Gramatté,286
449,Sofia (Sonia) Friedman-Kochevskaya,286
450,Sofia (Sonia) Friedman-Kochevskaya,286
451,Satella Waterstone,287
452,Marti Epstein,288
453,Eleni Lambiri,289
454,Henriette Löfman,290
455,Annie Gosfield,291
456,Amy Scurria,292
457,Josefina Brdlíková,293
458,Ruth Shaw Wylie,294
459,Augusta Browne Garrett,295
460,Lady Augusta Browne,295
461,Lady Augusta Browne,295
462,Emilie Zumsteeg,296
463,Marilyn Mazur,297
464,Vojna Nešić,298
465,Michiko Toyama,299
466,Ludmila Frajt,300
467,Lida Frajt,300
468,Lida Frajt,300
469,Betty Rose Wishart,301
470,Dolores Claman,302
471,Albena Petrovic-Vratchanska,303
472,Isabel Stewart North,304
473,Maura Bosch,305
474,Amélie-Julie Candeille,306
475,Julie Candeille,306
476,Julie Simons,306
477,Anđelka Bego-Šimunić,307
478,Louise Strantz,308
479,Jeanne Colin-De Clerck,309
480,Laura Wilson Barker,310
481,Mrs Tom Taylor,310
482,Mrs Tom Taylor,310
483,Priscilla McLean,311
484,Priscilla Taylor,311
485,Priscilla Taylor,311
486,Trude Rittmann,312
487,Lam Manyee,313
488,Ada Gentile,314
489,Laura Kaminsky,315
490,Augusta Holmès,316
491,Hermann Zenta,316
492,Hermann Zenta,316
493,Lucie Vellère,317
494,Ruth Crawford Seeger,318
495,Carolina Uccelli,319
496,Carolina Pazzini,319
497,Carolina Pazzini,319
498,Emma Lomax,320
499,Franghiz Ali-Zadeh,321
500,Franghiz Ali Aga Kïzï Ali-Zadeh,321
501,Franghiz Ali Aga Kïzï Ali-Zadeh,321
502,Joan Trimble,322
503,Freya Waley-Cohen,323
504,Nicole Rodrigue,324
505,Wendy Carlos,325
506,Walter Carlos,325
507,Walter Carlos,325
508,Janet Mary Salsbury,326
509,Claire Delbos,327
510,Claire-Louise,327
511,Louise Justine Delbos,327
512,Claire-Louise,327
513,Louise Justine Delbos,327
514,Dora Pejačević,328
515,Dora Pejacsevich,328
516,Dora Pejacsevich,328
517,Lidia Zielińska,329
518,Canary Burton,330
519,Rachel Galinne,331
520,Ellen Riley Wright,332
521,Ellen Wright,332
522,Ellen Wright,332
523,Grace Chadbourne,333
524,Grace Wassall,333
525,Grace Wassall,333
526,Lora Aborn,334
527,Mildred Lund Tyson,335
528,Emma Mundella,336
529,Maria Hester Park,337
530,Maria Hester Reynolds,337
531,Maria Hester Reynolds,337
532,Dorothy Parke,338
533,Ludmila Ulehla,339
534,Eugenia Manolidou,340
535,Eugenia Karagiannidou,340
536,Eugenia Karagiannidou,340
537,Marie Emmanuelle Bayon Louis,341
538,Elizabeth Poston,342
539,Giulia Recli,343
540,Sylvia Rexach,344
541,"Georgiana Cavendish, Duchess of Devonshire",345
542,Georgiana Spencer,345
543,Georgiana Spencer,345
544,Shimul Yousuf,346
545,Aimée Van de Wiele,347
546,Elena Firsova,348
547,Fanny Arthur Robinson,349
548,Mrs. Joseph Robinson,349
549,Mrs. Joseph Robinson,349
550,Cora Emily Decker Sargent,350
551,Cora Decker Sargent,350
552,Sorrel Hays,351
553,Doris Ernestine Hays,351
554,Doris Ernestine Hays,351
555,Yuliya Veysberg,352
556,Julia Stilman-Lasansky,353
557,Tatyana Chudova,354
558,Magdalene Stirling,355
559,Miss Stirling of Ardoch,355
560,Miss Stirling of Ardoch,355
561,Sophie Lacaze,356
562,Christina Kubisch,357
563,Carol Sams,358
564,Vivian Fine,359
565,Mirca Sancin,360
566,Zoë Keating,361
567,Joan Tower,362
568,Nadia Boulanger,363
569,Katharina Rosenberger,364
570,Julia Adolphe,365
571,Maria Huld Markan Sigfúsdóttir,366
572,Gertrude Price Wollner,367
573,Zdenka Ticharich,368
574,Mary Jeanne Van Appledorn,369
575,Jeanine Rueff,370
576,Lucrezia Orsina Vizzana,371
577,Lucrezia Orsina Vizana,371
578,Lucrezia Orsina Vizana,371
579,Angela Morley,372
580,Walter Stott,372
581,Wally Stott,372
582,Walter Stott,372
583,Wally Stott,372
584,Gwendolen Avril Coleridge-Taylor,373
585,Avril Coleridge-Taylor,373
586,Peter Riley,373
587,Peter Riley,373
588,Tibors de Sarenom,374
589,Tibors d'Aurenga,374
590,Tiburge,374
591,Tibors d'Aurenga,374
592,Tiburge,374
593,Helen Bowater,375
594,Joan Franks Williams,376
595,Lola Castegnaro,377
